"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 00:00","2019","04","01","00:00","-1.5","","-4.0","","83","","30","","19","","24.1","","100.75","","","","-7","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 01:00","2019","04","01","01:00","-1.7","","-6.8","","68","","29","","30","","24.1","","100.79","","","","-9","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 02:00","2019","04","01","02:00","-2.9","","-7.7","","70","","29","","21","","24.1","","100.86","","","","-9","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 03:00","2019","04","01","03:00","-3.9","","-9.3","","66","","29","","21","","24.1","","100.92","","","","-10","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 04:00","2019","04","01","04:00","-4.8","","-10.6","","64","","28","","21","","24.1","","101.03","","","","-11","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 05:00","2019","04","01","05:00","-5.6","","-11.6","","63","","30","","20","","24.1","","101.15","","","","-12","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 06:00","2019","04","01","06:00","-6.3","","-12.6","","61","","28","","25","","24.1","","101.27","","","","-14","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 07:00","2019","04","01","07:00","-6.3","","-13.8","","55","","28","","25","","48.3","","101.40","","","","-14","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 08:00","2019","04","01","08:00","-5.7","","-13.8","","53","","28","","25","","48.3","","101.50","","","","-13","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 09:00","2019","04","01","09:00","-4.9","","-14.8","","46","","27","","30","","48.3","","101.61","","","","-13","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 10:00","2019","04","01","10:00","-3.8","","-13.8","","46","","29","","32","","48.3","","101.65","","","","-12","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 11:00","2019","04","01","11:00","-2.8","","-11.8","","50","","26","","30","","48.3","","101.68","","","","-10","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 12:00","2019","04","01","12:00","-1.7","","-11.5","","48","","27","","36","","48.3","","101.68","","","","-9","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 13:00","2019","04","01","13:00","-0.6","","-11.6","","44","","26","","35","","48.3","","101.64","","","","-8","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 14:00","2019","04","01","14:00","0.5","","-10.1","","45","","26","","36","","48.3","","101.65","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 15:00","2019","04","01","15:00","1.1","","-9.9","","44","","26","","37","","48.3","","101.68","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 16:00","2019","04","01","16:00","1.7","","-10.8","","39","","25","","34","","48.3","","101.70","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 17:00","2019","04","01","17:00","1.8","","-9.8","","42","","25","","28","","48.3","","101.70","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 18:00","2019","04","01","18:00","1.5","","-9.3","","44","","25","","25","","48.3","","101.75","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 19:00","2019","04","01","19:00","0.6","","-8.5","","50","","23","","14","","48.3","","101.80","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 20:00","2019","04","01","20:00","0.5","","-7.8","","54","","23","","17","","24.1","","101.87","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 21:00","2019","04","01","21:00","0.5","","-6.3","","60","","23","","34","","24.1","","101.92","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 22:00","2019","04","01","22:00","-0.2","","-5.9","","66","","22","","29","","24.1","","101.97","","","","-7","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-01 23:00","2019","04","01","23:00","-0.5","","-5.6","","68","","23","","29","","24.1","","102.02","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 00:00","2019","04","02","00:00","-0.8","","-5.8","","69","","22","","30","","24.1","","102.03","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 01:00","2019","04","02","01:00","-1.2","","-6.1","","70","","23","","22","","24.1","","102.04","","","","-7","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 02:00","2019","04","02","02:00","-1.2","","-6.7","","66","","22","","23","","24.1","","102.05","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 03:00","2019","04","02","03:00","-1.5","","-6.4","","69","","22","","21","","24.1","","102.05","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 04:00","2019","04","02","04:00","-1.5","","-6.4","","69","","22","","22","","24.1","","102.06","","","","-7","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 05:00","2019","04","02","05:00","-1.4","","-6.3","","70","","21","","18","","24.1","","102.09","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 06:00","2019","04","02","06:00","-1.3","","-6.1","","70","","19","","18","","48.3","","102.14","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 07:00","2019","04","02","07:00","-0.8","","-6.4","","66","","20","","16","","48.3","","102.15","","","","-6","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 08:00","2019","04","02","08:00","0.9","","-6.5","","58","","18","","14","","48.3","","102.15","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 09:00","2019","04","02","09:00","2.2","","-7.3","","49","","20","","15","","48.3","","102.11","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 10:00","2019","04","02","10:00","4.0","","-6.3","","47","","16","","17","","48.3","","102.04","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 11:00","2019","04","02","11:00","4.2","","-7.4","","43","","15","","19","","48.3","","101.92","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 12:00","2019","04","02","12:00","5.1","","-6.8","","42","","14","","16","","48.3","","101.85","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 13:00","2019","04","02","13:00","6.9","","-5.7","","40","","15","","23","","48.3","","101.76","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 14:00","2019","04","02","14:00","8.3","","-6.0","","36","","14","","19","","48.3","","101.66","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 15:00","2019","04","02","15:00","9.1","","-5.0","","37","","15","","17","","48.3","","101.60","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 16:00","2019","04","02","16:00","8.8","","-6.5","","33","","17","","22","","48.3","","101.58","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 17:00","2019","04","02","17:00","8.5","","-4.8","","39","","16","","9","","48.3","","101.51","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 18:00","2019","04","02","18:00","7.5","","-6.0","","38","","16","","17","","48.3","","101.58","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 19:00","2019","04","02","19:00","6.8","","-6.5","","38","","15","","20","","24.1","","101.47","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 20:00","2019","04","02","20:00","6.4","","-6.4","","40","","16","","18","","24.1","","101.43","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 21:00","2019","04","02","21:00","6.6","","-7.0","","37","","17","","19","","24.1","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 22:00","2019","04","02","22:00","6.2","","-6.9","","38","","17","","16","","24.1","","101.39","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-02 23:00","2019","04","02","23:00","5.3","","-5.7","","45","","15","","16","","24.1","","101.34","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 00:00","2019","04","03","00:00","5.0","","-5.5","","47","","15","","18","","24.1","","101.25","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 01:00","2019","04","03","01:00","4.6","","-4.8","","51","","16","","18","","24.1","","101.16","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 02:00","2019","04","03","02:00","4.4","","-4.7","","51","","15","","19","","24.1","","101.12","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 03:00","2019","04","03","03:00","4.3","","-4.7","","52","","16","","23","","24.1","","101.08","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 04:00","2019","04","03","04:00","3.8","","-5.0","","53","","15","","22","","24.1","","101.03","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 05:00","2019","04","03","05:00","3.3","","-5.1","","54","","15","","20","","24.1","","100.97","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 06:00","2019","04","03","06:00","2.9","","-5.1","","56","","15","","20","","24.1","","100.85","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 07:00","2019","04","03","07:00","3.6","","-5.3","","52","","14","","18","","24.1","","100.74","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 08:00","2019","04","03","08:00","6.0","","-5.0","","45","","15","","17","","48.3","","100.61","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 09:00","2019","04","03","09:00","5.3","","-4.6","","49","","14","","12","","48.3","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 10:00","2019","04","03","10:00","6.1","","-3.0","","52","","14","","13","","48.3","","100.39","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 11:00","2019","04","03","11:00","7.5","","-3.3","","46","","22","","12","","48.3","","100.31","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 12:00","2019","04","03","12:00","8.6","","-1.3","","50","","23","","43","","24.1","","100.21","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 13:00","2019","04","03","13:00","7.8","","1.6","","65","","25","","38","","24.1","","100.27","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 14:00","2019","04","03","14:00","8.0","","-1.2","","52","","25","","31","","48.3","","100.32","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 15:00","2019","04","03","15:00","8.3","","-6.6","","34","","27","","43","","48.3","","100.34","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 16:00","2019","04","03","16:00","7.5","","-6.7","","36","","26","","35","","24.1","","100.41","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 17:00","2019","04","03","17:00","5.9","","-7.9","","36","","26","","41","","24.1","","100.57","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 18:00","2019","04","03","18:00","5.0","","-8.7","","36","","27","","40","","24.1","","100.68","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 19:00","2019","04","03","19:00","3.9","","-7.5","","43","","26","","32","","24.1","","100.82","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 20:00","2019","04","03","20:00","3.0","","-9.1","","41","","26","","42","","24.1","","100.99","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 21:00","2019","04","03","21:00","2.3","","-9.2","","43","","27","","34","","24.1","","101.14","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 22:00","2019","04","03","22:00","0.3","","-4.7","","69","","28","","27","","24.1","","101.25","","","","","","Snow Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-03 23:00","2019","04","03","23:00","-1.1","","-4.3","","79","","26","","32","","12.9","","101.30","","","","-8","","Snow Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 00:00","2019","04","04","00:00","0.1","","-6.5","","61","","27","","32","","24.1","","101.37","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 01:00","2019","04","04","01:00","-0.4","","-6.7","","63","","26","","36","","24.1","","101.43","","","","-8","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 02:00","2019","04","04","02:00","-1.9","","-6.9","","69","","26","","31","","16.1","","101.54","","","","-9","","Snow Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 03:00","2019","04","04","03:00","-1.6","","-6.9","","67","","30","","17","","24.1","","101.61","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 04:00","2019","04","04","04:00","-1.7","","-9.4","","56","","28","","23","","24.1","","101.73","","","","-8","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 05:00","2019","04","04","05:00","-2.1","","-11.4","","49","","28","","32","","24.1","","101.83","","","","-9","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 06:00","2019","04","04","06:00","-2.5","","-13.0","","45","","28","","33","","24.1","","101.94","","","","-10","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 07:00","2019","04","04","07:00","-1.9","","-12.9","","43","","27","","30","","48.3","","102.04","","","","-9","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 08:00","2019","04","04","08:00","-1.9","","-14.3","","38","","28","","30","","48.3","","102.13","","","","-9","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 09:00","2019","04","04","09:00","-1.4","","-15.3","","34","","28","","35","","48.3","","102.19","","","","-9","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 10:00","2019","04","04","10:00","-0.8","","-16.0","","31","","28","","43","","48.3","","102.26","","","","-9","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 11:00","2019","04","04","11:00","-0.3","","-15.4","","31","","27","","45","","48.3","","102.30","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 12:00","2019","04","04","12:00","0.6","","-13.8","","33","","27","","36","","48.3","","102.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 13:00","2019","04","04","13:00","1.3","","-13.0","","34","","27","","34","","48.3","","102.33","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 14:00","2019","04","04","14:00","1.3","","-14.0","","31","","28","","46","","48.3","","102.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 15:00","2019","04","04","15:00","2.0","","-12.8","","33","","27","","44","","48.3","","102.34","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 16:00","2019","04","04","16:00","1.9","","-14.2","","29","","28","","36","","48.3","","102.40","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 17:00","2019","04","04","17:00","1.7","","-15.2","","27","","29","","37","","48.3","","102.49","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 18:00","2019","04","04","18:00","1.0","","-14.3","","31","","28","","25","","48.3","","102.56","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 19:00","2019","04","04","19:00","0.2","","-15.2","","31","","29","","21","","24.1","","102.65","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 20:00","2019","04","04","20:00","-0.8","","-14.3","","36","","30","","15","","24.1","","102.73","","","","-5","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-04-04 21:00","2019","04","04","21:00","-1.3","","-13.9","","38","","33","","11","","24.1","","102.83","","","","-5","","NA"
