"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 00:00","2019","09","01","00:00","12.7","","8.4","","75","","2","","7","","24.1","","102.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 01:00","2019","09","01","01:00","12.9","","8.6","","75","","7","","4","","24.1","","102.34","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 02:00","2019","09","01","02:00","11.3","","8.7","","84","","35","","4","","24.1","","102.35","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 03:00","2019","09","01","03:00","10.1","","7.8","","86","","33","","4","","24.1","","102.35","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 04:00","2019","09","01","04:00","10.3","","8.7","","90","","1","","5","","24.1","","102.36","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 05:00","2019","09","01","05:00","10.4","","8.5","","88","","3","","4","","24.1","","102.38","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 06:00","2019","09","01","06:00","11.2","","8.4","","83","","2","","6","","48.3","","102.43","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 07:00","2019","09","01","07:00","13.2","","9.3","","77","","3","","12","","48.3","","102.45","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 08:00","2019","09","01","08:00","15.8","","9.2","","65","","9","","4","","48.3","","102.44","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 09:00","2019","09","01","09:00","17.8","","9.4","","58","","14","","4","","48.3","","102.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 10:00","2019","09","01","10:00","19.5","","10.1","","54","","14","","9","","48.3","","102.38","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 11:00","2019","09","01","11:00","20.3","","10.3","","52","","13","","12","","48.3","","102.30","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 12:00","2019","09","01","12:00","21.1","","9.4","","47","","8","","8","","48.3","","102.23","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 13:00","2019","09","01","13:00","22.0","","11.0","","49","","15","","14","","48.3","","102.14","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 14:00","2019","09","01","14:00","22.5","","10.6","","47","","13","","10","","48.3","","102.04","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 15:00","2019","09","01","15:00","22.8","","10.7","","46","","15","","14","","48.3","","101.93","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 16:00","2019","09","01","16:00","22.6","","11.3","","48","","13","","15","","48.3","","101.87","","25","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 17:00","2019","09","01","17:00","22.7","","11.7","","49","","14","","17","","48.3","","101.80","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 18:00","2019","09","01","18:00","21.9","","12.0","","53","","13","","17","","48.3","","101.72","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 19:00","2019","09","01","19:00","20.6","","12.0","","57","","14","","21","","24.1","","101.66","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 20:00","2019","09","01","20:00","20.3","","12.5","","61","","18","","20","","24.1","","101.64","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 21:00","2019","09","01","21:00","19.6","","13.9","","70","","19","","14","","24.1","","101.62","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 22:00","2019","09","01","22:00","18.8","","13.1","","69","","17","","14","","24.1","","101.59","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-01 23:00","2019","09","01","23:00","17.4","","14.1","","81","","17","","19","","24.1","","101.55","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 00:00","2019","09","02","00:00","16.2","","14.7","","91","","16","","14","","24.1","","101.51","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 01:00","2019","09","02","01:00","16.0","","15.0","","93","","15","","22","","19.3","","101.42","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 02:00","2019","09","02","02:00","16.3","","15.4","","94","","15","","17","","19.3","","101.31","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 03:00","2019","09","02","03:00","16.3","","15.5","","95","","15","","20","","19.3","","101.19","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 04:00","2019","09","02","04:00","16.6","","15.8","","95","","15","","18","","24.1","","101.11","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 05:00","2019","09","02","05:00","16.6","","15.9","","95","","16","","17","","12.9","","101.07","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 06:00","2019","09","02","06:00","16.8","","16.2","","96","","17","","12","","8.1","","101.02","","","","","","Rain"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 07:00","2019","09","02","07:00","17.0","","16.4","","96","","17","","14","","4.8","","101.01","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 08:00","2019","09","02","08:00","17.1","","16.5","","96","","15","","12","","8.1","","100.96","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 09:00","2019","09","02","09:00","17.4","","16.7","","96","","17","","10","","24.1","","100.92","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 10:00","2019","09","02","10:00","18.2","","16.8","","91","","23","","7","","24.1","","100.91","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 11:00","2019","09","02","11:00","18.5","","16.6","","89","","26","","8","","24.1","","100.89","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 12:00","2019","09","02","12:00","18.2","","16.6","","91","","24","","9","","16.1","","100.87","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 13:00","2019","09","02","13:00","17.8","","16.4","","91","","26","","10","","12.9","","100.86","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 14:00","2019","09","02","14:00","18.7","","16.6","","87","","24","","16","","24.1","","100.83","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 15:00","2019","09","02","15:00","20.1","","16.4","","79","","24","","14","","24.1","","100.80","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-09-02 16:00","2019","09","02","16:00","21.3","","16.3","","73","","20","","15","","48.3","","100.80","","26","","","","Mainly Clear"
