"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 00:00","2019","06","01","00:00","8.8","","4.6","","75","","22","","6","","24.1","","100.59","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 01:00","2019","06","01","01:00","9.9","","5.4","","73","","26","","7","","24.1","","100.60","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 02:00","2019","06","01","02:00","10.7","","5.0","","68","","33","","3","","24.1","","100.61","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 03:00","2019","06","01","03:00","10.0","","5.6","","74","","36","","3","","24.1","","100.60","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 04:00","2019","06","01","04:00","10.1","","6.4","","78","","36","","3","","24.1","","100.64","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 05:00","2019","06","01","05:00","10.0","","6.6","","79","","32","","3","","24.1","","100.66","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 06:00","2019","06","01","06:00","11.1","","7.0","","75","","4","","8","","24.1","","100.67","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 07:00","2019","06","01","07:00","13.2","","5.9","","61","","3","","8","","24.1","","100.70","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 08:00","2019","06","01","08:00","14.3","","4.8","","53","","11","","12","","24.1","","100.76","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 09:00","2019","06","01","09:00","14.3","","5.0","","53","","12","","14","","48.3","","100.77","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 10:00","2019","06","01","10:00","15.5","","6.4","","54","","11","","12","","48.3","","100.73","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 11:00","2019","06","01","11:00","16.7","","5.2","","46","","10","","12","","48.3","","100.69","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 12:00","2019","06","01","12:00","17.3","","5.0","","44","","9","","10","","48.3","","100.60","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 13:00","2019","06","01","13:00","18.2","","4.4","","40","","9","","14","","48.3","","100.53","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 14:00","2019","06","01","14:00","18.0","","4.9","","42","","14","","17","","48.3","","100.50","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 15:00","2019","06","01","15:00","18.5","","5.9","","43","","13","","13","","48.3","","100.43","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 16:00","2019","06","01","16:00","18.5","","5.2","","41","","11","","16","","48.3","","100.38","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 17:00","2019","06","01","17:00","18.3","","6.6","","46","","9","","13","","48.3","","100.33","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 18:00","2019","06","01","18:00","18.0","","6.5","","47","","9","","12","","48.3","","100.35","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 19:00","2019","06","01","19:00","17.8","","6.4","","47","","11","","10","","48.3","","100.34","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 20:00","2019","06","01","20:00","17.8","","6.6","","48","","7","","15","","24.1","","100.26","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 21:00","2019","06","01","21:00","17.8","","6.5","","47","","8","","11","","24.1","","100.25","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 22:00","2019","06","01","22:00","17.7","","6.3","","47","","8","","12","","24.1","","100.21","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-01 23:00","2019","06","01","23:00","15.8","","8.6","","62","","4","","13","","24.1","","100.13","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 00:00","2019","06","02","00:00","16.6","","8.6","","59","","7","","8","","24.1","","100.07","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 01:00","2019","06","02","01:00","16.0","","9.6","","65","","8","","11","","24.1","","100.04","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 02:00","2019","06","02","02:00","14.9","","10.4","","74","","6","","8","","24.1","","100.00","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 03:00","2019","06","02","03:00","14.9","","10.6","","75","","7","","5","","24.1","","99.93","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 04:00","2019","06","02","04:00","14.5","","11.0","","79","","9","","3","","24.1","","99.91","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 05:00","2019","06","02","05:00","14.3","","11.3","","82","","21","","7","","24.1","","99.93","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 06:00","2019","06","02","06:00","13.1","","12.0","","93","","23","","7","","24.1","","99.94","","","","","","Rain Showers"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 07:00","2019","06","02","07:00","13.6","","12.4","","93","","31","","4","","24.1","","99.91","","","","","","Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 08:00","2019","06","02","08:00","14.6","","12.8","","89","","11","","3","","24.1","","99.89","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-06-02 09:00","2019","06","02","09:00","14.3","","12.5","","89","","21","","7","","24.1","","99.89","","","","","","NA"
